Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
55,55,"192.168.2.4",262936689764516,6847293592267
55,55,"192.168.2.10",437836980151527,6847293712091
56,56,"192.168.2.4",262936689972294,6847293834279
56,56,"192.168.2.10",437836980356638,6847293953568
57,57,"192.168.2.4",262936690180516,6847294073071
57,57,"192.168.2.10",437836980565712,6847294193654
58,58,"192.168.2.4",262936690390275,6847294313598
58,58,"192.168.2.10",437836980772601,6847294433677
59,59,"192.168.2.4",262936690597312,6847294556077
59,59,"192.168.2.10",437836980981638,6847294676884
60,60,"192.168.2.4",262936690805572,6847294795252
60,60,"192.168.2.10",437836981189730,6847294915319
61,61,"192.168.2.4",262936691014331,6847295036469
61,61,"192.168.2.10",437836981397860,6847295156426
62,62,"192.168.2.4",262936691222275,6847295276214
62,62,"192.168.2.10",437836981607101,6847295396795
63,63,"192.168.2.4",262936691432016,6847295516943
63,63,"192.168.2.10",437836981814916,6847295636950
64,64,"192.168.2.4",262936691639442,6847295757555
64,64,"192.168.2.10",437836982022397,6847295879442
65,65,"192.168.2.4",262936691847294,6847295998587
65,65,"192.168.2.10",437836982231045,6847296119419
66,66,"192.168.2.4",262936692058109,6847296238759
66,66,"192.168.2.10",437836982439619,6847296359594
67,67,"192.168.2.4",262936692263905,6847296479469
67,67,"192.168.2.10",437836982648749,6847296603950
68,68,"192.168.2.4",262936692473294,6847296719985
68,68,"192.168.2.10",437836982855971,6847296840239
69,69,"192.168.2.4",262936692680386,6847296961055
69,69,"192.168.2.10",437836983064397,6847297083500
70,70,"192.168.2.4",262936692888961,6847297201759
70,70,"192.168.2.10",437836983272434,6847297321984
71,71,"192.168.2.4",262936693097016,6847297441871
71,71,"192.168.2.10",437836983480490,6847297562683
72,72,"192.168.2.4",262936693305331,6847297682729
72,72,"192.168.2.10",437836983690156,6847297803630
73,73,"192.168.2.4",262936693515090,6847297925118
73,73,"192.168.2.10",437836983897304,6847298044256
74,74,"192.168.2.4",262936693722035,6847298164651
74,74,"192.168.2.10",437836984106897,6847298284843
75,75,"192.168.2.4",262936693930275,6847298405366
75,75,"192.168.2.10",437836984314101,6847298525094
76,76,"192.168.2.4",262936694138646,6847298647801
76,76,"192.168.2.10",437836984522767,6847298766406
77,77,"192.168.2.4",262936694346683,6847298886167
77,77,"192.168.2.10",437836984730656,6847299006862
78,78,"192.168.2.4",262936694556275,6847299128738
78,78,"192.168.2.10",437836984938971,6847299246584
79,79,"192.168.2.4",262936694763590,6847299367338
79,79,"192.168.2.10",437836985147675,6847299487272
80,80,"192.168.2.4",262936694971553,6847299608164
80,80,"192.168.2.10",437836985356101,6847299728313
81,81,"192.168.2.4",262936695179646,6847299848201
81,81,"192.168.2.10",437836985563786,6847299970928
82,82,"192.168.2.4",262936695388201,6847300092160
82,82,"192.168.2.10",437836985772175,6847300210265
83,83,"192.168.2.4",262936695597590,6847300330331
83,83,"192.168.2.10",437836985980490,6847300449934
84,84,"192.168.2.4",262936695804998,6847300570780
84,84,"192.168.2.10",437836986188601,6847300691192
85,85,"192.168.2.4",262936696016072,6847300811527
85,85,"192.168.2.10",437836986397249,6847300932208
86,86,"192.168.2.4",262936696221720,6847301051631
86,86,"192.168.2.10",437836986605156,6847301173131
87,87,"192.168.2.4",262936696429868,6847301292589
87,87,"192.168.2.10",437836986813397,6847301413108
88,88,"192.168.2.4",262936696639535,6847301533114
88,88,"192.168.2.10",437836987023193,6847301653735
89,89,"192.168.2.4",262936696846016,6847301774115
89,89,"192.168.2.10",437836987230378,6847301894072
90,90,"192.168.2.4",262936697054535,6847302017203
90,90,"192.168.2.10",437836987439045,6847302135055
91,91,"192.168.2.4",262936697262942,6847302254872
91,91,"192.168.2.10",437836987646860,6847302375654
92,92,"192.168.2.4",262936697471349,6847302495908
92,92,"192.168.2.10",437836987855175,6847302616660
93,93,"192.168.2.4",262936697680016,6847302736667
93,93,"192.168.2.10",437836988067416,6847302856402
94,94,"192.168.2.4",262936697888294,6847302977489
94,94,"192.168.2.10",437836988272064,6847303097393
95,95,"192.168.2.4",262936698096238,6847303221946
95,95,"192.168.2.10",437836988480045,6847303337973
96,96,"192.168.2.4",262936698304516,6847303458082
96,96,"192.168.2.10",437836988688286,6847303579549
97,97,"192.168.2.4",262936698513275,6847303701362
97,97,"192.168.2.10",437836988896527,6847303819946
98,98,"192.168.2.4",262936698722461,6847303939725
98,98,"192.168.2.10",437836989105860,6847304061556
99,99,"192.168.2.4",262936698929405,6847304181062
99,99,"192.168.2.10",437836989312934,6847304300635
100,100,"192.168.2.4",262936699137831,6847304421636
100,100,"192.168.2.10",437836989521378,6847304541316
101,101,"192.168.2.4",262936699346016,6847304661514
101,101,"192.168.2.10",437836989729601,6847304782415
102,102,"192.168.2.4",262936699554553,6847304902006
102,102,"192.168.2.10",437836989938082,6847305022920
103,103,"192.168.2.4",262936699763868,6847305142945
103,103,"192.168.2.10",437836990147323,6847305267298
104,104,"192.168.2.4",262936699970849,6847305383836
104,104,"192.168.2.10",437836990354619,6847305504152
105,105,"192.168.2.4",262936700180072,6847305624470
105,105,"192.168.2.10",437836990563175,6847305748302
106,106,"192.168.2.4",262936700387923,6847305864552
106,106,"192.168.2.10",437836990771230,6847305985244
107,107,"192.168.2.4",262936700595961,6847306107789
107,107,"192.168.2.10",437836990979675,6847306226124
108,108,"192.168.2.4",262936700804109,6847306346036
108,108,"192.168.2.10",437836991188415,6847306467204
109,109,"192.168.2.4",262936701012868,6847306589307
109,109,"192.168.2.10",437836991396082,6847306710652
110,110,"192.168.2.4",262936701220849,6847306830177
110,110,"192.168.2.10",437836991604564,6847306949492
111,111,"192.168.2.4",262936701428849,6847307070422
111,111,"192.168.2.10",437836991812971,6847307192524
112,112,"192.168.2.4",262936701637442,6847307335596
112,112,"192.168.2.10",437836992023786,6847307432239
113,113,"192.168.2.4",262936701845572,6847307551884
113,113,"192.168.2.10",437836992230490,6847307671414
114,114,"192.168.2.4",262936702054683,6847307793240
114,114,"192.168.2.10",437836992437786,6847307912122
115,115,"192.168.2.4",262936702262220,6847308035951
115,115,"192.168.2.10",437836992646582,6847308169923
116,116,"192.168.2.4",262936702470498,6847308331362
116,116,"192.168.2.10",437836992854193,6847308394060
117,117,"192.168.2.4",262936702678775,6847308512871
117,117,"192.168.2.10",437836993062508,6847308634046
118,118,"192.168.2.4",262936702887146,6847308753547
118,118,"192.168.2.10",437836993271915,6847308873142
119,119,"192.168.2.4",262936703096405,6847308993664
119,119,"192.168.2.10",437836993479286,6847309113756
120,120,"192.168.2.4",262936703303535,6847309235011
120,120,"192.168.2.10",437836993687434,6847309355404
121,121,"192.168.2.4",262936703512423,6847309475626
121,121,"192.168.2.10",437836993895990,6847309595723
122,122,"192.168.2.4",262936703720461,6847309723772
122,122,"192.168.2.10",437836994104323,6847309837193
123,123,"192.168.2.4",262936703928535,6847309957334
123,123,"192.168.2.10",437836994313656,6847310077717
124,124,"192.168.2.4",262936704140738,6847310231430
124,124,"192.168.2.10",437836994520601,6847310317450
125,125,"192.168.2.4",262936704345275,6847310445463
125,125,"192.168.2.10",437836994729119,6847310558713
126,126,"192.168.2.4",262936704553442,6847310678342
126,126,"192.168.2.10",437836994937175,6847310799562
127,127,"192.168.2.4",262936704761720,6847310919229
127,127,"192.168.2.10",437836995145675,6847311039908
128,128,"192.168.2.4",262936704970035,6847311160751
128,128,"192.168.2.10",437836995354730,6847311280438
129,129,"192.168.2.4",262936705179535,6847311400518
129,129,"192.168.2.10",437836995562175,6847311520462
130,130,"192.168.2.4",262936705386849,6847311641169
130,130,"192.168.2.10",437836995770749,6847311761668
131,131,"192.168.2.4",262936705595238,6847311881006
131,131,"192.168.2.10",437836995978619,6847312011232
132,132,"192.168.2.4",262936705803127,6847312124465
132,132,"192.168.2.10",437836996188045,6847312271135
133,133,"192.168.2.4",262936706011553,6847312363312
133,133,"192.168.2.10",437836996396786,6847312482660
134,134,"192.168.2.4",262936706221183,6847312603887
134,134,"192.168.2.10",437836996603656,6847312723143
135,135,"192.168.2.4",262936706427979,6847312843760
135,135,"192.168.2.10",437836996812471,6847312963744
136,136,"192.168.2.4",262936706636979,6847313083545
136,136,"192.168.2.10",437836997019990,6847313204426
137,137,"192.168.2.4",262936706844812,6847313324229
137,137,"192.168.2.10",437836997228897,6847313445598
138,138,"192.168.2.4",262936707053090,6847313565299
138,138,"192.168.2.10",437836997437693,6847313685230
139,139,"192.168.2.4",262936707262683,6847313806215
139,139,"192.168.2.10",437836997645045,6847313926367
140,140,"192.168.2.4",262936707469757,6847314046849
140,140,"192.168.2.10",437836997853860,6847314167022
141,141,"192.168.2.4",262936707677794,6847314288181
141,141,"192.168.2.10",437836998062101,6847314407729
142,142,"192.168.2.4",262936707886701,6847314527460
142,142,"192.168.2.10",437836998269934,6847314648245
143,143,"192.168.2.4",262936708097572,6847314768359
143,143,"192.168.2.10",437836998479601,6847314888244
144,144,"192.168.2.4",262936708304146,6847315009434
144,144,"192.168.2.10",437836998686619,6847315128846
145,145,"192.168.2.4",262936708511368,6847315249706
145,145,"192.168.2.10",437836998895119,6847315370263
146,146,"192.168.2.4",262936708719349,6847315489820
146,146,"192.168.2.10",437836999103712,6847315611436
147,147,"192.168.2.4",262936708927664,6847315731116
147,147,"192.168.2.10",437836999311897,6847315851504
148,148,"192.168.2.4",262936709135979,6847315979075
148,148,"192.168.2.10",437836999521119,6847316105032
149,149,"192.168.2.4",262936709345072,6847316228275
149,149,"192.168.2.10",437836999727953,6847316344878
150,150,"192.168.2.4",262936709553146,6847316463010
150,150,"192.168.2.10",437836999936212,6847316581761
151,151,"192.168.2.4",262936709761183,6847316707658
151,151,"192.168.2.10",437837000147415,6847316823481
152,152,"192.168.2.4",262936709969331,6847316943432
152,152,"192.168.2.10",437837000353027,6847317065030
153,153,"192.168.2.4",262936710177516,6847317184109
153,153,"192.168.2.10",437837000562638,6847317305524
154,154,"192.168.2.4",262936710386923,6847317424878
154,154,"192.168.2.10",437837000769508,6847317545555
155,155,"192.168.2.4",262936710594257,6847317665805
155,155,"192.168.2.10",437837000978249,6847317786267
156,156,"192.168.2.4",262936710802461,6847317906839
156,156,"192.168.2.10",437837001186360,6847318026126
157,157,"192.168.2.4",262936711011183,6847318148240
157,157,"192.168.2.10",437837001394860,6847318270332
158,158,"192.168.2.4",262936711218942,6847318393949
158,158,"192.168.2.10",437837001603601,6847318502623
159,159,"192.168.2.4",262936711428461,6847318619349
159,159,"192.168.2.10",437837001811693,6847318738899
160,160,"192.168.2.4",262936711636016,6847318859875
160,160,"192.168.2.10",437837002019767,6847318979928
161,161,"192.168.2.4",262936711844146,6847319099811
161,161,"192.168.2.10",437837002227897,6847319221713
162,162,"192.168.2.4",262936712054701,6847319340364
162,162,"192.168.2.10",437837002436119,6847319461075
163,163,"192.168.2.4",262936712260942,6847319588222
163,163,"192.168.2.10",437837002645508,6847319712094
164,164,"192.168.2.4",262936712470090,6847319829606
164,164,"192.168.2.10",437837002852360,6847319949407
165,165,"192.168.2.4",262936712677498,6847320065389
165,165,"192.168.2.10",437837003061008,6847320184832
166,166,"192.168.2.4",262936712885701,6847320307166
166,166,"192.168.2.10",437837003269286,6847320435089
167,167,"192.168.2.4",262936713093886,6847320558166
167,167,"192.168.2.10",437837003477656,6847320705098
168,168,"192.168.2.4",262936713301905,6847320790805
168,168,"192.168.2.10",437837003687138,6847320907175
169,169,"192.168.2.4",262936713511368,6847321029098
169,169,"192.168.2.10",437837003894286,6847321153314
170,170,"192.168.2.4",262936713718627,6847321274836
170,170,"192.168.2.10",437837004103693,6847321396940
171,171,"192.168.2.4",262936713926868,6847321517277
171,171,"192.168.2.10",437837004311230,6847321636087
172,172,"192.168.2.4",262936714135275,6847321754396
172,172,"192.168.2.10",437837004519545,6847321879191
173,173,"192.168.2.4",262936714343627,6847321999335
173,173,"192.168.2.10",437837004728601,6847322118634
174,174,"192.168.2.4",262936714553016,6847322239963
174,174,"192.168.2.10",437837004935897,6847322360093
175,175,"192.168.2.4",262936714760257,6847322484504
175,175,"192.168.2.10",437837005143693,6847322603315
176,176,"192.168.2.4",262936714968516,6847322744291
176,176,"192.168.2.10",437837005352156,6847322836780
177,177,"192.168.2.4",262936715176331,6847322958861
177,177,"192.168.2.10",437837005560841,6847323075080
178,178,"192.168.2.4",262936715385275,6847323220320
178,178,"192.168.2.10",437837005769841,6847323315714
179,179,"192.168.2.4",262936715594294,6847323436308
179,179,"192.168.2.10",437837005976915,6847323556948
180,180,"192.168.2.4",262936715801979,6847323676856
180,180,"192.168.2.10",437837006185693,6847323794625
181,181,"192.168.2.4",262936716012831,6847323914802
181,181,"192.168.2.10",437837006394101,6847324037472
182,182,"192.168.2.4",262936716218590,6847324154957
182,182,"192.168.2.10",437837006602101,6847324275201
183,183,"192.168.2.4",262936716426516,6847324401219
183,183,"192.168.2.10",437837006811212,6847324519673
184,184,"192.168.2.4",262936716635979,6847324638342
184,184,"192.168.2.10",437837007019119,6847324759163
185,185,"192.168.2.4",262936716843146,6847324878675
185,185,"192.168.2.10",437837007227323,6847324998485
186,186,"192.168.2.4",262936717051590,6847325119031
186,186,"192.168.2.10",437837007435286,6847325250705
187,187,"192.168.2.4",262936717259720,6847325361227
187,187,"192.168.2.10",437837007644193,6847325481379
188,188,"192.168.2.4",262936717468294,6847325599630
188,188,"192.168.2.10",437837007852730,6847325729997
189,189,"192.168.2.4",262936717677664,6847325838896
189,189,"192.168.2.10",437837008063249,6847325964158
190,190,"192.168.2.4",262936717884775,6847326079156
190,190,"192.168.2.10",437837008268730,6847326200249
191,191,"192.168.2.4",262936718092775,6847326319616
191,191,"192.168.2.10",437837008477101,6847326440146
192,192,"192.168.2.4",262936718301220,6847326561727
192,192,"192.168.2.10",437837008684712,6847326681065
193,193,"192.168.2.4",262936718509757,6847326800635
193,193,"192.168.2.10",437837008894397,6847326920616
194,194,"192.168.2.4",262936718718886,6847327041503
194,194,"192.168.2.10",437837009101656,6847327161510
195,195,"192.168.2.4",262936718926590,6847327282246
195,195,"192.168.2.10",437837009310286,6847327402452
196,196,"192.168.2.4",262936719134349,6847327522285
196,196,"192.168.2.10",437837009518119,6847327642968
197,197,"192.168.2.4",262936719342535,6847327762991
197,197,"192.168.2.10",437837009726712,6847327883791
198,198,"192.168.2.4",262936719551201,6847328030458
198,198,"192.168.2.10",437837009936156,6847328134106
199,199,"192.168.2.4",262936719760738,6847328248795
199,199,"192.168.2.10",437837010143193,6847328365091
200,200,"192.168.2.4",262936719967442,6847328485961
200,200,"192.168.2.10",437837010351582,6847328607831
201,201,"192.168.2.4",262936720176942,6847328725868
201,201,"192.168.2.10",437837010559712,6847328846267
202,202,"192.168.2.4",262936720384775,6847328966263
202,202,"192.168.2.10",437837010767971,6847329087618
203,203,"192.168.2.4",262936720592609,6847329207333
203,203,"192.168.2.10",437837010977286,6847329327301
204,204,"192.168.2.4",262936720802257,6847329447915
204,204,"192.168.2.10",437837011184823,6847329568061
205,205,"192.168.2.4",262936721009405,6847329688975
205,205,"192.168.2.10",437837011393138,6847329808967
206,206,"192.168.2.4",262936721217535,6847329928847
206,206,"192.168.2.10",437837011601249,6847330049465
207,207,"192.168.2.4",262936721425683,6847330169656
207,207,"192.168.2.10",437837011809582,6847330290885
208,208,"192.168.2.4",262936721634275,6847330410567
208,208,"192.168.2.10",437837012021971,6847330530561
209,209,"192.168.2.4",262936721843146,6847330652779
209,209,"192.168.2.10",437837012226119,6847330771819
210,210,"192.168.2.4",262936722050646,6847330892352
210,210,"192.168.2.10",437837012434619,6847331012088
211,211,"192.168.2.4",262936722259090,6847331132296
211,211,"192.168.2.10",437837012642897,6847331252738
212,212,"192.168.2.4",262936722467498,6847331375679
212,212,"192.168.2.10",437837012851360,6847331493544
213,213,"192.168.2.4",262936722675812,6847331613636
213,213,"192.168.2.10",437837013060675,6847331733587
214,214,"192.168.2.4",262936722884961,6847331858047
214,214,"192.168.2.10",437837013267378,6847331974221
215,215,"192.168.2.4",262936723092590,6847332095807
215,215,"192.168.2.10",437837013476101,6847332215387
216,216,"192.168.2.4",262936723300201,6847332336516
216,216,"192.168.2.10",437837013684267,6847332456280
217,217,"192.168.2.4",262936723509109,6847332576370
217,217,"192.168.2.10",437837013892601,6847332698588
218,218,"192.168.2.4",262936723717072,6847332817228
218,218,"192.168.2.10",437837014101971,6847332936900
219,219,"192.168.2.4",262936723926072,6847333057994
219,219,"192.168.2.10",437837014309101,6847333178073
220,220,"192.168.2.4",262936724136331,6847333298900
220,220,"192.168.2.10",437837014517397,6847333418525
221,221,"192.168.2.4",262936724342238,6847333538617
221,221,"192.168.2.10",437837014726082,6847333659718
222,222,"192.168.2.4",262936724550349,6847333779525
222,222,"192.168.2.10",437837014934101,6847333900167
223,223,"192.168.2.4",262936724758553,6847334020243
223,223,"192.168.2.10",437837015142675,6847334140602
224,224,"192.168.2.4",262936724967683,6847334261323
224,224,"192.168.2.10",437837015350823,6847334381033
225,225,"192.168.2.4",262936725175386,6847334501821
225,225,"192.168.2.10",437837015559249,6847334622045
226,226,"192.168.2.4",262936725383886,6847334742964
226,226,"192.168.2.10",437837015767378,6847334863020
227,227,"192.168.2.4",262936725592127,6847334982821
227,227,"192.168.2.10",437837015975638,6847335103180
228,228,"192.168.2.4",262936725800405,6847335223351
228,228,"192.168.2.10",437837016204860,6847335343254
229,229,"192.168.2.4",262936726009812,6847335464131
229,229,"192.168.2.10",437837016392841,6847335584173
230,230,"192.168.2.4",262936726216868,6847335704839
230,230,"192.168.2.10",437837016600804,6847335824974
231,231,"192.168.2.4",262936726424979,6847335945631
231,231,"192.168.2.10",437837016808841,6847336068003
232,232,"192.168.2.4",262936726633664,6847336186765
232,232,"192.168.2.10",437837017017138,6847336307182
233,233,"192.168.2.4",262936726841405,6847336427275
233,233,"192.168.2.10",437837017225360,6847336547102
234,234,"192.168.2.4",262936727050979,6847336667980
234,234,"192.168.2.10",437837017434971,6847336789301
235,235,"192.168.2.4",262936727258423,6847336909036
235,235,"192.168.2.10",437837017641897,6847337028640
236,236,"192.168.2.4",262936727466961,6847337148530
236,236,"192.168.2.10",437837017850193,6847337269864
237,237,"192.168.2.4",262936727674627,6847337393225
237,237,"192.168.2.10",437837018058693,6847337510065
238,238,"192.168.2.4",262936727883275,6847337629988
238,238,"192.168.2.10",437837018266675,6847337750474
239,239,"192.168.2.4",262936728095183,6847337870986
239,239,"192.168.2.10",437837018476082,6847337991124
240,240,"192.168.2.4",262936728299998,6847338111905
240,240,"192.168.2.10",437837018683841,6847338231659
241,241,"192.168.2.4",262936728508442,6847338351791
241,241,"192.168.2.10",437837018891915,6847338472587
242,242,"192.168.2.4",262936728716331,6847338592759
242,242,"192.168.2.10",437837019100212,6847338713843
243,243,"192.168.2.4",262936728924590,6847338834817
243,243,"192.168.2.10",437837019308397,6847338953856
244,244,"192.168.2.4",262936729134053,6847339074432
244,244,"192.168.2.10",437837019517527,6847339194528
245,245,"192.168.2.4",262936729340905,6847339315066
245,245,"192.168.2.10",437837019725082,6847339437236
246,246,"192.168.2.4",262936729549701,6847339554937
246,246,"192.168.2.10",437837019933230,6847339675721
247,247,"192.168.2.4",262936729758072,6847339795727
247,247,"192.168.2.10",437837020144693,6847339921767
248,248,"192.168.2.4",262936729966072,6847340037103
248,248,"192.168.2.10",437837020347749,6847340156901
249,249,"192.168.2.4",262936730175498,6847340277562
249,249,"192.168.2.10",437837020556656,6847340397228
250,250,"192.168.2.4",262936730383146,6847340518230
250,250,"192.168.2.10",437837020764397,6847340638233
251,251,"192.168.2.4",262936730591090,6847340758668
251,251,"192.168.2.10",437837020972453,6847340880529
252,252,"192.168.2.4",262936730799275,6847340999102
252,252,"192.168.2.10",437837021180693,6847341120398
253,253,"192.168.2.4",262936731007183,6847341239898
253,253,"192.168.2.10",437837021389027,6847341360057
254,254,"192.168.2.4",262936731215479,6847341480750
254,254,"192.168.2.10",437837021598249,6847341600997
255,255,"192.168.2.4",262936731424146,6847341721540
255,255,"192.168.2.10",437837021805971,6847341841630
