Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
61,8,"192.168.1.10",431478274227076,488599111456
71,8,"192.168.1.4",256577949143954,488599113561
62,8,"192.168.1.10",431478274240187,488599115755
72,9,"192.168.1.4",256577949246602,488599160285
73,9,"192.168.1.4",256577949268158,488599162593
63,9,"192.168.1.10",431478274361298,488599164705
74,9,"192.168.1.4",256577949282621,488599167060
64,9,"192.168.1.10",431478274382724,488599212853
75,9,"192.168.1.4",256577949296436,488599215224
65,9,"192.168.1.10",431478274396187,488599217324
76,9,"192.168.1.4",256577949310140,488599219444
66,9,"192.168.1.10",431478274409594,488599265617
77,9,"192.168.1.4",256577949323936,488599267997
67,9,"192.168.1.10",431478274422909,488599270566
78,9,"192.168.1.4",256577949337732,488599272852
68,9,"192.168.1.10",431478274436150,488599318479
79,9,"192.168.1.4",256577949351584,488599320927
69,9,"192.168.1.10",431478274449391,488599323207
80,10,"192.168.1.4",256577949454602,488599371009
81,10,"192.168.1.4",256577949476454,488599373408
70,10,"192.168.1.10",431478274568261,488599375618
82,10,"192.168.1.4",256577949490417,488599377929
71,10,"192.168.1.10",431478274589502,488599423408
83,10,"192.168.1.4",256577949504417,488599425896
72,10,"192.168.1.10",431478274602891,488599428260
84,10,"192.168.1.4",256577949518325,488599430697
73,10,"192.168.1.10",431478274616280,488599476343
85,10,"192.168.1.4",256577949532102,488599480138
74,10,"192.168.1.10",431478274630632,488599485022
86,10,"192.168.1.4",256577949545862,488599489321
75,10,"192.168.1.10",431478274643983,488599529134
87,10,"192.168.1.4",256577949559510,488599531668
76,10,"192.168.1.10",431478274657372,488599533981
88,11,"192.168.1.4",256577949662954,488599581522
89,11,"192.168.1.4",256577949685102,488599584019
77,11,"192.168.1.10",431478274776169,488599586346
90,11,"192.168.1.4",256577949699806,488599588688
78,11,"192.168.1.10",431478274797669,488599634160
91,11,"192.168.1.4",256577949713695,488599636596
79,11,"192.168.1.10",431478274811576,488599641109
92,11,"192.168.1.4",256577949727658,488599643478
80,11,"192.168.1.10",431478274824946,488599687106
93,11,"192.168.1.4",256577949741380,488599689589
81,11,"192.168.1.10",431478274838446,488599691764
94,11,"192.168.1.4",256577949755251,488599693962
82,11,"192.168.1.10",431478274851594,488599738932
95,11,"192.168.1.4",256577949769195,488599741615
83,11,"192.168.1.10",431478274864909,488599743882
96,12,"192.168.1.4",256577949871565,488599793045
97,12,"192.168.1.4",256577949893140,488599795441
84,12,"192.168.1.10",431478274984891,488599797615
98,12,"192.168.1.4",256577949907473,488599799934
85,12,"192.168.1.10",431478275006076,488599845150
99,12,"192.168.1.4",256577949921177,488599847902
86,12,"192.168.1.10",431478275019539,488599850114
100,12,"192.168.1.4",256577949934899,488599852554
87,12,"192.168.1.10",431478275033020,488599897388
101,12,"192.168.1.4",256577949948658,488599899838
88,12,"192.168.1.10",431478275046224,488599901943
102,12,"192.168.1.4",256577949962343,488599904259
89,12,"192.168.1.10",431478275060039,488599949324
103,12,"192.168.1.4",256577949975991,488599951755
90,12,"192.168.1.10",431478275073446,488599953912
104,13,"192.168.1.4",256577950079751,488600039760
105,13,"192.168.1.4",256577950101565,488600042294
91,13,"192.168.1.10",431478275192891,488600044362
106,13,"192.168.1.4",256577950116158,488600046607
92,13,"192.168.1.10",431478275213983,488600055631
107,13,"192.168.1.4",256577950130195,488600058021
93,13,"192.168.1.10",431478275227520,488600060236
108,13,"192.168.1.4",256577950144214,488600062613
94,13,"192.168.1.10",431478275240835,488600108476
109,13,"192.168.1.4",256577950158306,488600110841
95,13,"192.168.1.10",431478275254076,488600112953
110,13,"192.168.1.4",256577950172121,488600115102
96,13,"192.168.1.10",431478275267354,488600160330
111,13,"192.168.1.4",256577950185880,488600162674
97,13,"192.168.1.10",431478275280520,488600164917
112,14,"192.168.1.4",256577950288010,488600214281
113,14,"192.168.1.4",256577950310251,488600216840
98,14,"192.168.1.10",431478275402243,488600219012
114,14,"192.168.1.4",256577950323954,488600221453
99,14,"192.168.1.10",431478275424335,488600266280
115,14,"192.168.1.4",256577950337843,488600268712
100,14,"192.168.1.10",431478275438280,488600270946
116,14,"192.168.1.4",256577950351325,488600273178
101,14,"192.168.1.10",431478275451761,488600318655
117,14,"192.168.1.4",256577950365065,488600321183
102,14,"192.168.1.10",431478275465150,488600325676
118,14,"192.168.1.4",256577950379010,488600327975
103,14,"192.168.1.10",431478275478446,488600370817
119,14,"192.168.1.4",256577950392917,488600373284
104,14,"192.168.1.10",431478275492261,488600375496
120,15,"192.168.1.4",256577950496491,488600425065
121,15,"192.168.1.4",256577950518195,488600427467
105,15,"192.168.1.10",431478275609706,488600429822
122,15,"192.168.1.4",256577950533047,488600432114
106,15,"192.168.1.10",431478275630965,488600477630
123,15,"192.168.1.4",256577950546751,488600480243
107,15,"192.168.1.10",431478275644483,488600482427
124,15,"192.168.1.4",256577950560528,488600484774
108,15,"192.168.1.10",431478275658076,488600539386
125,15,"192.168.1.4",256577950574325,488600542471
109,15,"192.168.1.10",431478275671520,488600544851
126,15,"192.168.1.4",256577950588195,488600547181
110,15,"192.168.1.10",431478275684780,488600581340
127,15,"192.168.1.4",256577950602084,488600583818
111,15,"192.168.1.10",431478275697983,488600586055
128,16,"192.168.1.4",256577950704677,488600634967
129,16,"192.168.1.4",256577950726140,488600637574
112,16,"192.168.1.10",431478275817928,488600639715
130,16,"192.168.1.4",256577950740325,488600642077
113,16,"192.168.1.10",431478275839483,488600689070
131,16,"192.168.1.4",256577950754288,488600691527
114,16,"192.168.1.10",431478275853132,488600693686
132,16,"192.168.1.4",256577950767991,488600695999
115,16,"192.168.1.10",431478275866372,488600740561
133,16,"192.168.1.4",256577950781621,488600742989
116,16,"192.168.1.10",431478275879706,488600745213
134,16,"192.168.1.4",256577950795306,488600747529
117,16,"192.168.1.10",431478275892854,488600792521
135,16,"192.168.1.4",256577950808954,488600794937
118,16,"192.168.1.10",431478275906206,488600797131
136,17,"192.168.1.4",256577950912714,488600846106
137,17,"192.168.1.4",256577950935010,488600848537
119,17,"192.168.1.10",431478276028076,488600850976
138,17,"192.168.1.4",256577950949658,488600853271
120,17,"192.168.1.10",431478276050280,488600899298
139,17,"192.168.1.4",256577950963325,488600901856
121,17,"192.168.1.10",431478276064817,488600904210
140,17,"192.168.1.4",256577950977121,488600906572
122,17,"192.168.1.10",431478276078465,488600951100
141,17,"192.168.1.4",256577950990899,488600953520
123,17,"192.168.1.10",431478276092002,488600955611
142,17,"192.168.1.4",256577951004714,488600957957
124,17,"192.168.1.10",431478276105169,488601003119
143,17,"192.168.1.4",256577951018454,488601008538
125,17,"192.168.1.10",431478276118446,488601021457
144,18,"192.168.1.4",256577951121232,488601058945
145,18,"192.168.1.4",256577951142751,488601061423
126,18,"192.168.1.10",431478276234502,488601063670
146,18,"192.168.1.4",256577951156991,488601065727
127,18,"192.168.1.10",431478276256020,488601068028
147,18,"192.168.1.4",256577951170843,488601111980
128,18,"192.168.1.10",431478276269409,488601114515
148,18,"192.168.1.4",256577951184547,488601116960
129,18,"192.168.1.10",431478276282872,488601119128
149,18,"192.168.1.4",256577951198491,488601121454
130,18,"192.168.1.10",431478276296224,488601160754
150,18,"192.168.1.4",256577951212214,488601163143
131,18,"192.168.1.10",431478276309428,488601214418
151,18,"192.168.1.4",256577951225880,488601216933
132,18,"192.168.1.10",431478276322669,488601219185
152,19,"192.168.1.4",256577951329306,488601221558
153,19,"192.168.1.4",256577951350954,488601268199
133,19,"192.168.1.10",431478276443446,488601270678
154,19,"192.168.1.4",256577951365269,488601272897
134,19,"192.168.1.10",431478276465243,488601275126
155,19,"192.168.1.4",256577951379084,488601277429
135,19,"192.168.1.10",431478276478706,488601320634
156,19,"192.168.1.4",256577951392806,488601323038
136,19,"192.168.1.10",431478276492039,488601328017
157,19,"192.168.1.4",256577951406547,488601330381
137,19,"192.168.1.10",431478276505520,488601372637
158,19,"192.168.1.4",256577951420140,488601375348
138,19,"192.168.1.10",431478276518669,488601377481
159,19,"192.168.1.4",256577951433954,488601379616
139,19,"192.168.1.10",431478276531946,488601424497
160,20,"192.168.1.4",256577951539140,488601427043
161,20,"192.168.1.4",256577951561214,488601429252
140,20,"192.168.1.10",431478276650965,488601476984
162,20,"192.168.1.4",256577951575269,488601479477
141,20,"192.168.1.10",431478276672261,488601481838
163,20,"192.168.1.4",256577951588991,488601536930
142,20,"192.168.1.10",431478276685817,488601540018
164,20,"192.168.1.4",256577951602825,488601544920
143,20,"192.168.1.10",431478276699817,488601550569
165,20,"192.168.1.4",256577951616658,488601557017
144,20,"192.168.1.10",431478276713187,488601583409
166,20,"192.168.1.4",256577951630473,488601585829
145,20,"192.168.1.10",431478276726502,488601588081
167,20,"192.168.1.4",256577951644288,488601590356
146,20,"192.168.1.10",431478276739817,488601635100
168,21,"192.168.1.4",256577951745899,488601637648
169,21,"192.168.1.4",256577951767473,488601639950
147,21,"192.168.1.10",431478276859409,488601688417
170,21,"192.168.1.4",256577951782140,488601690817
148,21,"192.168.1.10",431478276880854,488601693065
171,21,"192.168.1.4",256577951795973,488601695251
149,21,"192.168.1.10",431478276894669,488601741784
172,21,"192.168.1.4",256577951809695,488601744314
150,21,"192.168.1.10",431478276908780,488601746573
173,21,"192.168.1.4",256577951823399,488601748958
151,21,"192.168.1.10",431478276922039,488601793857
174,21,"192.168.1.4",256577951837158,488601796268
152,21,"192.168.1.10",431478276935335,488601798645
175,21,"192.168.1.4",256577951850899,488601800923
153,21,"192.168.1.10",431478276948446,488601845528
176,22,"192.168.1.4",256577951954621,488601847972
177,22,"192.168.1.4",256577951975973,488601850363
154,22,"192.168.1.10",431478277067780,488601899001
155,22,"192.168.1.10",431478277089002,488601901391
178,22,"192.168.1.4",256577951990306,488601903575
156,22,"192.168.1.10",431478277102428,488601905941
179,22,"192.168.1.4",256577952021214,488601951667
157,22,"192.168.1.10",431478277115835,488601954112
180,22,"192.168.1.4",256577952039399,488601956313
158,22,"192.168.1.10",431478277129076,488601958691
159,22,"192.168.1.10",431478277142409,488602005313
181,22,"192.168.1.4",256577952053547,488602007746
160,22,"192.168.1.10",431478277155706,488602015288
182,22,"192.168.1.4",256577952067362,488602017598
183,22,"192.168.1.4",256577952081102,488602057300
184,23,"192.168.1.4",256577952095140,488602059684
185,23,"192.168.1.4",256577952109843,488602061815
186,23,"192.168.1.4",256577952124751,488602064252
187,23,"192.168.1.4",256577952138528,488602109881
188,23,"192.168.1.4",256577952152325,488602112448
189,23,"192.168.1.4",256577952165862,488602114641
190,23,"192.168.1.4",256577952179695,488602117091
191,23,"192.168.1.4",256577952193454,488602162320
161,23,"192.168.1.10",431478277275909,488602164785
162,23,"192.168.1.10",431478277297094,488602167003
163,23,"192.168.1.10",431478277310724,488602169358
164,23,"192.168.1.10",431478277324206,488602215891
165,23,"192.168.1.10",431478277338632,488602218207
166,23,"192.168.1.10",431478277352094,488602220318
167,23,"192.168.1.10",431478277365483,488602222521
192,24,"192.168.1.4",256577952371602,488602266896
193,24,"192.168.1.4",256577952393214,488602269362
168,24,"192.168.1.10",431478277485280,488602325113
194,24,"192.168.1.4",256577952407436,488602330853
169,24,"192.168.1.10",431478277506946,488602336644
195,24,"192.168.1.4",256577952421288,488602343665
170,24,"192.168.1.10",431478277520761,488602373441
196,24,"192.168.1.4",256577952435047,488602376056
171,24,"192.168.1.10",431478277534372,488602378267
197,24,"192.168.1.4",256577952448936,488602380678
