Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
63,7,"192.168.1.10",441110870846557,10121175065086
63,7,"192.168.1.4",266210598213491,10121175067569
64,8,"192.168.1.10",441110870951686,10121175069708
64,8,"192.168.1.4",266210598318231,10121175072040
65,8,"192.168.1.10",441110870973149,10121175117134
65,8,"192.168.1.4",266210598339768,10121175119557
66,8,"192.168.1.10",441110870986557,10121175121772
66,8,"192.168.1.4",266210598353861,10121175124124
67,8,"192.168.1.10",441110870999779,10121175170593
67,8,"192.168.1.4",266210598367787,10121175175056
68,8,"192.168.1.10",441110871012983,10121175180989
68,8,"192.168.1.4",266210598381991,10121175187896
69,8,"192.168.1.10",441110871027038,10121175223210
69,8,"192.168.1.4",266210598395713,10121175225683
70,8,"192.168.1.10",441110871040372,10121175228011
70,8,"192.168.1.4",266210598409379,10121175230229
71,8,"192.168.1.10",441110871053631,10121175278146
71,8,"192.168.1.4",266210598423028,10121175282270
72,9,"192.168.1.10",441110871160242,10121175286461
72,9,"192.168.1.4",266210598526213,10121175288938
73,9,"192.168.1.10",441110871181520,10121175327725
73,9,"192.168.1.4",266210598547768,10121175332706
74,9,"192.168.1.10",441110871195131,10121175335047
74,9,"192.168.1.4",266210598562009,10121175337398
75,9,"192.168.1.10",441110871208464,10121175380621
75,9,"192.168.1.4",266210598575657,10121175383175
76,9,"192.168.1.10",441110871221705,10121175385415
76,9,"192.168.1.4",266210598589213,10121175387595
77,9,"192.168.1.10",441110871234983,10121175433128
77,9,"192.168.1.4",266210598602991,10121175435523
78,9,"192.168.1.10",441110871248872,10121175437931
78,9,"192.168.1.4",266210598616657,10121175440216
79,9,"192.168.1.10",441110871262075,10121175486479
79,9,"192.168.1.4",266210598630342,10121175489011
80,10,"192.168.1.10",441110871368575,10121175491291
80,10,"192.168.1.4",266210598734491,10121175493577
81,10,"192.168.1.10",441110871389872,10121175538504
81,10,"192.168.1.4",266210598755991,10121175540980
82,10,"192.168.1.10",441110871403427,10121175543223
82,10,"192.168.1.4",266210598770046,10121175545508
83,10,"192.168.1.10",441110871416557,10121175591324
83,10,"192.168.1.4",266210598784398,10121175593718
84,10,"192.168.1.10",441110871429797,10121175596034
84,10,"192.168.1.4",266210598798250,10121175598284
85,10,"192.168.1.10",441110871442964,10121175643944
85,10,"192.168.1.4",266210598812120,10121175648469
86,10,"192.168.1.10",441110871456223,10121175650799
86,10,"192.168.1.4",266210598825750,10121175653083
87,10,"192.168.1.10",441110871470279,10121175710680
87,10,"192.168.1.4",266210598839713,10121175713132
88,11,"192.168.1.10",441110871576538,10121175715378
88,11,"192.168.1.4",266210598944435,10121175717590
89,11,"192.168.1.10",441110871598186,10121175719832
89,11,"192.168.1.4",266210598965972,10121175722253
90,11,"192.168.1.10",441110871611520,10121175748434
90,11,"192.168.1.4",266210598980083,10121175750774
91,11,"192.168.1.10",441110871624668,10121175802371
91,11,"192.168.1.4",266210598993917,10121175804758
92,11,"192.168.1.10",441110871637816,10121175806987
92,11,"192.168.1.4",266210599007602,10121175809284
93,11,"192.168.1.10",441110871651094,10121175854724
93,11,"192.168.1.4",266210599021398,10121175857185
94,11,"192.168.1.10",441110871664223,10121175859460
94,11,"192.168.1.4",266210599035102,10121175861764
95,11,"192.168.1.10",441110871677372,10121175909435
95,11,"192.168.1.4",266210599048972,10121175911924
96,12,"192.168.1.10",441110871784797,10121175914114
96,12,"192.168.1.4",266210599151454,10121175916681
97,12,"192.168.1.10",441110871806260,10121175918942
97,12,"192.168.1.4",266210599172935,10121175960715
98,12,"192.168.1.10",441110871819853,10121175963355
98,12,"192.168.1.4",266210599187379,10121175965481
99,12,"192.168.1.10",441110871833279,10121175967738
99,12,"192.168.1.4",266210599200898,10121176035795
100,12,"192.168.1.10",441110871846464,10121176038426
100,12,"192.168.1.4",266210599214657,10121176040588
101,12,"192.168.1.10",441110871859705,10121176043040
101,12,"192.168.1.4",266210599228509,10121176045338
102,12,"192.168.1.10",441110871872872,10121176081756
102,12,"192.168.1.4",266210599242102,10121176084189
103,12,"192.168.1.10",441110871886020,10121176086313
103,12,"192.168.1.4",266210599255731,10121176088740
104,13,"192.168.1.4",266210599359750,10121176133140
105,13,"192.168.1.4",266210599381176,10121176135518
104,13,"192.168.1.10",441110871992853,10121176137681
106,13,"192.168.1.4",266210599395398,10121176140072
107,13,"192.168.1.4",266210599409102,10121176185287
105,13,"192.168.1.10",441110872043297,10121176187652
108,13,"192.168.1.4",266210599422898,10121176190192
106,13,"192.168.1.10",441110872059575,10121176192586
109,13,"192.168.1.4",266210599436472,10121176238270
107,13,"192.168.1.10",441110872073186,10121176240660
110,13,"192.168.1.4",266210599450305,10121176242884
108,13,"192.168.1.10",441110872086594,10121176245290
111,13,"192.168.1.4",266210599464120,10121176291451
109,13,"192.168.1.10",441110872099909,10121176293981
110,13,"192.168.1.10",441110872113427,10121176296474
111,13,"192.168.1.10",441110872126612,10121176298843
112,14,"192.168.1.10",441110872140242,10121176343398
113,14,"192.168.1.10",441110872154409,10121176345796
114,14,"192.168.1.10",441110872167890,10121176348000
115,14,"192.168.1.10",441110872181890,10121176350427
116,14,"192.168.1.10",441110872195038,10121176396276
117,14,"192.168.1.10",441110872208223,10121176398715
112,14,"192.168.1.4",266210599567768,10121176400823
118,14,"192.168.1.10",441110872221409,10121176403228
113,14,"192.168.1.4",266210599589065,10121176448939
119,14,"192.168.1.10",441110872234538,10121176451302
114,14,"192.168.1.4",266210599603676,10121176453493
115,14,"192.168.1.4",266210599617565,10121176455809
116,14,"192.168.1.4",266210599631324,10121176502603
117,14,"192.168.1.4",266210599645083,10121176505011
118,14,"192.168.1.4",266210599658861,10121176507134
119,14,"192.168.1.4",266210599672602,10121176509516
120,15,"192.168.1.4",266210599776157,10121176554314
120,15,"192.168.1.10",441110872411038,10121176556757
121,15,"192.168.1.4",266210599797694,10121176558984
121,15,"192.168.1.10",441110872432464,10121176561360
122,15,"192.168.1.10",441110872446260,10121176607055
122,15,"192.168.1.4",266210599811824,10121176609482
123,15,"192.168.1.10",441110872459631,10121176611607
123,15,"192.168.1.4",266210599825657,10121176613828
124,15,"192.168.1.10",441110872473464,10121176659989
124,15,"192.168.1.4",266210599839305,10121176662398
125,15,"192.168.1.10",441110872486890,10121176664601
125,15,"192.168.1.4",266210599853102,10121176666949
126,15,"192.168.1.10",441110872500242,10121176713736
126,15,"192.168.1.4",266210599866842,10121176716085
127,15,"192.168.1.10",441110872513538,10121176718269
127,15,"192.168.1.4",266210599880639,10121176720617
128,16,"192.168.1.10",441110872618501,10121176765598
129,16,"192.168.1.10",441110872639649,10121176768041
128,16,"192.168.1.4",266210599985454,10121176770218
130,16,"192.168.1.10",441110872653316,10121176772481
131,16,"192.168.1.10",441110872666557,10121176817859
129,16,"192.168.1.4",266210600039102,10121176820254
132,16,"192.168.1.10",441110872679797,10121176822495
130,16,"192.168.1.4",266210600058324,10121176824833
133,16,"192.168.1.10",441110872693686,10121176870440
134,16,"192.168.1.10",441110872707020,10121176872878
131,16,"192.168.1.4",266210600072435,10121176875146
135,16,"192.168.1.10",441110872720260,10121176877465
132,16,"192.168.1.4",266210600086157,10121176926850
133,16,"192.168.1.4",266210600100046,10121176935097
134,16,"192.168.1.4",266210600113768,10121176939233
135,16,"192.168.1.4",266210600127583,10121176944049
136,17,"192.168.1.4",266210600142305,10121176976062
137,17,"192.168.1.4",266210600156250,10121176978374
138,17,"192.168.1.4",266210600169954,10121176980481
139,17,"192.168.1.4",266210600183620,10121176982657
140,17,"192.168.1.4",266210600197342,10121177028610
136,17,"192.168.1.10",441110872826279,10121177031029
141,17,"192.168.1.4",266210600211213,10121177033239
137,17,"192.168.1.10",441110872847705,10121177035575
142,17,"192.168.1.4",266210600224805,10121177081528
138,17,"192.168.1.10",441110872862538,10121177083934
143,17,"192.168.1.4",266210600238657,10121177086203
139,17,"192.168.1.10",441110872876075,10121177088459
140,17,"192.168.1.10",441110872889316,10121177134911
141,17,"192.168.1.10",441110872902686,10121177137293
142,17,"192.168.1.10",441110872916446,10121177139506
143,17,"192.168.1.10",441110872929575,10121177141840
144,18,"192.168.1.10",441110873034668,10121177192045
144,18,"192.168.1.4",266210600402028,10121177194425
145,18,"192.168.1.10",441110873056038,10121177196596
145,18,"192.168.1.4",266210600423509,10121177198987
146,18,"192.168.1.10",441110873069594,10121177239561
146,18,"192.168.1.4",266210600438268,10121177243956
147,18,"192.168.1.10",441110873082890,10121177246210
147,18,"192.168.1.4",266210600451972,10121177248526
148,18,"192.168.1.10",441110873096112,10121177292292
148,18,"192.168.1.4",266210600465917,10121177294603
149,18,"192.168.1.10",441110873109409,10121177296857
149,18,"192.168.1.4",266210600479602,10121177299165
150,18,"192.168.1.10",441110873122668,10121177345484
150,18,"192.168.1.4",266210600493398,10121177347849
151,18,"192.168.1.10",441110873136446,10121177349933
151,18,"192.168.1.4",266210600507176,10121177352191
152,19,"192.168.1.10",441110873242631,10121177397492
152,19,"192.168.1.4",266210600609379,10121177399878
153,19,"192.168.1.10",441110873264038,10121177402042
153,19,"192.168.1.4",266210600630787,10121177404404
154,19,"192.168.1.10",441110873277649,10121177459810
154,19,"192.168.1.4",266210600645065,10121177462147
155,19,"192.168.1.10",441110873291094,10121177464420
155,19,"192.168.1.4",266210600658657,10121177466794
156,19,"192.168.1.10",441110873304260,10121177469005
156,19,"192.168.1.4",266210600672472,10121177471324
157,19,"192.168.1.10",441110873317538,10121177501792
157,19,"192.168.1.4",266210600686065,10121177504262
158,19,"192.168.1.10",441110873330797,10121177556610
158,19,"192.168.1.4",266210600699861,10121177561078
159,19,"192.168.1.10",441110873344001,10121177563267
159,19,"192.168.1.4",266210600713583,10121177565737
160,20,"192.168.1.10",441110873450964,10121177608783
160,20,"192.168.1.4",266210600817231,10121177611249
161,20,"192.168.1.10",441110873472279,10121177613428
161,20,"192.168.1.4",266210600838639,10121177615737
162,20,"192.168.1.10",441110873485927,10121177660993
162,20,"192.168.1.4",266210600853194,10121177663497
163,20,"192.168.1.10",441110873500149,10121177665673
163,20,"192.168.1.4",266210600866750,10121177667996
164,20,"192.168.1.10",441110873513742,10121177713778
164,20,"192.168.1.4",266210600880528,10121177716175
165,20,"192.168.1.10",441110873527168,10121177718484
165,20,"192.168.1.4",266210600894176,10121177720814
166,20,"192.168.1.10",441110873540334,10121177779327
166,20,"192.168.1.4",266210600908046,10121177782878
167,20,"192.168.1.10",441110873553501,10121177785086
167,20,"192.168.1.4",266210600921787,10121177788116
168,21,"192.168.1.10",441110873659983,10121177824245
168,21,"192.168.1.4",266210601027250,10121177826562
169,21,"192.168.1.10",441110873681353,10121177828886
169,21,"192.168.1.4",266210601048787,10121177831659
170,21,"192.168.1.10",441110873694816,10121177875276
170,21,"192.168.1.4",266210601062694,10121177877847
171,21,"192.168.1.10",441110873708149,10121177884131
171,21,"192.168.1.4",266210601076454,10121177886631
172,21,"192.168.1.10",441110873721409,10121177955946
172,21,"192.168.1.4",266210601090194,10121177966706
173,21,"192.168.1.10",441110873734705,10121177978541
173,21,"192.168.1.4",266210601104028,10121177982338
174,21,"192.168.1.10",441110873747779,10121177984944
174,21,"192.168.1.4",266210601117620,10121177987579
175,21,"192.168.1.10",441110873761038,10121177989580
175,21,"192.168.1.4",266210601131583,10121177991772
176,22,"192.168.1.10",441110873867964,10121178034284
176,22,"192.168.1.4",266210601234120,10121178036705
177,22,"192.168.1.10",441110873889168,10121178038846
177,22,"192.168.1.4",266210601255935,10121178041173
178,22,"192.168.1.10",441110873902594,10121178085897
178,22,"192.168.1.4",266210601270713,10121178088448
179,22,"192.168.1.10",441110873916631,10121178090436
179,22,"192.168.1.4",266210601284879,10121178092652
180,22,"192.168.1.10",441110873929983,10121178138422
180,22,"192.168.1.4",266210601298676,10121178140694
181,22,"192.168.1.10",441110873943316,10121178142999
181,22,"192.168.1.4",266210601312824,10121178145286
182,22,"192.168.1.10",441110873956594,10121178191508
182,22,"192.168.1.4",266210601326731,10121178194013
183,22,"192.168.1.10",441110873969779,10121178198998
183,22,"192.168.1.4",266210601340842,10121178201233
184,23,"192.168.1.10",441110874076242,10121178243973
184,23,"192.168.1.4",266210601442768,10121178246304
185,23,"192.168.1.10",441110874097483,10121178248344
185,23,"192.168.1.4",266210601464435,10121178250693
186,23,"192.168.1.10",441110874110779,10121178296509
186,23,"192.168.1.4",266210601478583,10121178299020
187,23,"192.168.1.10",441110874124149,10121178301072
187,23,"192.168.1.4",266210601492472,10121178303219
188,23,"192.168.1.10",441110874138668,10121178349297
