Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
62,7,"192.168.1.4",265818231700224,9728811433351
63,7,"192.168.1.4",265818231723984,9728811478420
64,8,"192.168.1.4",265818231748113,9728811480858
65,8,"192.168.1.4",265818231771910,9728811483050
64,8,"192.168.1.10",440718506542402,9728811485343
66,8,"192.168.1.4",265818231795891,9728811531175
65,8,"192.168.1.10",440718506563717,9728811533723
66,8,"192.168.1.10",440718506576957,9728811535875
67,8,"192.168.1.4",265818231819706,9728811538101
67,8,"192.168.1.10",440718506589883,9728811584326
68,8,"192.168.1.10",440718506602976,9728811586831
68,8,"192.168.1.4",265818231843336,9728811589047
69,8,"192.168.1.10",440718506615939,9728811591387
70,8,"192.168.1.10",440718506629754,9728811636369
69,8,"192.168.1.4",265818231867243,9728811638933
71,8,"192.168.1.10",440718506642957,9728811641078
70,8,"192.168.1.4",265818231890780,9728811643273
71,8,"192.168.1.4",265818231914484,9728811696678
72,9,"192.168.1.4",265818231938354,9728811699105
73,9,"192.168.1.4",265818231961928,9728811701274
74,9,"192.168.1.4",265818231985687,9728811703494
72,9,"192.168.1.10",440718506750402,9728811742161
73,9,"192.168.1.10",440718506771365,9728811744788
74,9,"192.168.1.10",440718506784587,9728811746924
75,9,"192.168.1.10",440718506798439,9728811749046
76,9,"192.168.1.10",440718506811568,9728811794642
75,9,"192.168.1.4",265818232044687,9728811797227
77,9,"192.168.1.10",440718506824661,9728811799363
76,9,"192.168.1.4",265818232073613,9728811801649
78,9,"192.168.1.10",440718506837531,9728811846847
79,9,"192.168.1.10",440718506851254,9728811849369
77,9,"192.168.1.4",265818232098058,9728811851496
78,9,"192.168.1.4",265818232121650,9728811853612
79,9,"192.168.1.4",265818232145539,9728811899527
80,10,"192.168.1.4",265818232169743,9728811902089
81,10,"192.168.1.4",265818232193632,9728811904156
80,10,"192.168.1.10",440718506958754,9728811906423
81,10,"192.168.1.10",440718506980013,9728811952367
82,10,"192.168.1.4",265818232217299,9728811954845
82,10,"192.168.1.10",440718506993272,9728811957038
83,10,"192.168.1.4",265818232241095,9728811959145
83,10,"192.168.1.10",440718507006328,9728812020237
84,10,"192.168.1.10",440718507019105,9728812022750
84,10,"192.168.1.4",265818232264484,9728812024848
85,10,"192.168.1.10",440718507032124,9728812027190
